iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_raw_episodic_return,avg_loss,avg_critic_uncertainty,iteration_seconds
1,4116,23.52,15.117,15.202,-0.00291,0.00051,98.96
2,8216,26.28,17.231,17.328,-0.00052,0.00053,97.83
3,12329,23.64,15.291,15.371,-0.0005,0.00056,98.38
4,16433,25.33,16.606,16.697,-0.00103,0.00059,99.0
5,20534,26.46,17.205,17.304,-0.00058,0.00063,98.48
6,24648,26.54,17.394,17.499,-0.00047,0.00064,98.86
7,28757,26.01,17.104,17.197,-0.00083,0.00072,98.82
8,32893,28.33,18.885,18.984,-0.00094,0.00077,100.34
9,37027,30.4,20.935,21.043,-0.00035,0.00082,101.67
10,41128,25.31,16.437,16.531,-0.00076,0.00089,105.87
11,45229,29.29,19.317,19.423,-0.0011,0.00095,102.24
12,49333,31.33,21.432,21.546,-0.00045,0.00103,98.42
13,53458,31.73,21.409,21.524,-0.00048,0.0011,130.43
14,57570,33.43,22.436,22.549,-0.00111,0.0012,141.16
15,61704,31.32,21.043,21.16,-0.00085,0.00126,126.48
16,65805,30.38,20.047,20.161,-0.00032,0.00139,105.47
17,69933,33.29,22.673,22.793,-0.00081,0.00152,98.98
18,74068,32.82,22.198,22.318,-0.00132,0.00161,100.01
19,78178,34.83,23.571,23.704,0.00015,0.0017,103.35
20,82282,36.32,24.68,24.806,-0.00144,0.00184,97.91
21,86388,34.5,23.318,23.44,-0.00079,0.002,98.25
22,90510,37.82,26.085,26.22,0.00023,0.00218,89.95
23,94637,37.18,25.526,25.661,-0.00038,0.0024,92.27
24,98777,37.64,25.303,25.43,-9e-05,0.00257,99.44
25,102907,40.1,27.97,28.109,-0.00048,0.00281,99.41
