iteration,timesteps_so_far,avg_episodic_length,avg_episodic_return,avg_loss,iteration_seconds
1,4098,20.187192,12.575336,-0.000444,45.22
2,8199,20.505,12.838825,-0.00052,45.4
3,12310,21.300518,13.188258,-0.000964,45.83
4,16435,22.418478,14.402637,-0.001552,46.25
5,20545,21.861702,13.9447,-0.000904,45.55
6,24643,23.687861,15.613638,-0.000412,45.19
7,28767,21.820106,13.871687,-0.000892,45.83
8,32884,23.392045,15.143334,-0.000863,46.0
9,36982,21.797872,13.604352,-0.001088,45.18
10,41099,25.893082,17.20413,-0.001044,45.77
11,45219,26.928105,17.96841,-0.000532,45.45
12,49322,27.172185,18.460491,-0.000698,45.59
