iteration,average_episodic_length,average_episodic_return,average_loss,timesteps_so_far,iteration_secs
1,7.43,3.83,-0.00356,4099,58.07
2,7.81,4.25,-0.00248,8200,55.98
3,7.86,4.29,-0.00278,12297,55.81
4,7.76,4.21,-0.00198,16395,55.58
5,7.92,4.35,-0.00171,20491,58.36
6,7.95,4.42,-0.00105,24601,55.51
7,7.96,4.38,-0.00064,28701,56.17
8,8.38,4.84,-0.00094,32799,56.16
9,8.08,4.54,-0.00076,36896,58.76
10,8.21,4.61,-0.00078,40993,58.1
11,8.81,5.19,-0.0007,45089,57.31
12,8.39,4.82,-0.00066,49190,57.83
13,8.49,4.94,-0.0007,53291,58.7
14,8.76,5.19,-0.00072,57393,58.39
15,8.51,4.97,-0.00065,61502,58.21
16,8.7,5.11,-0.0006,65607,57.88
17,9.15,5.56,-0.00067,69707,58.02
18,8.95,5.37,-0.00079,73805,58.37
19,9.49,5.81,-0.00094,77903,57.43
20,8.84,5.33,-0.00124,82006,59.98
21,9.35,5.77,-0.0012,86110,63.44
22,9.04,5.47,-0.00144,90206,58.02
23,8.96,5.46,-0.00131,94303,59.46
24,9.12,5.56,-0.00115,98405,61.89
25,9.45,5.88,-0.00057,102505,64.91
26,9.35,5.8,-0.00087,106610,66.18
27,9.7,6.06,-0.00122,110712,67.23
28,9.48,5.88,-0.00101,114816,52.1
29,10.05,6.43,-0.00083,118915,50.6
30,9.8,6.19,-0.00099,123012,50.23
31,9.91,6.35,-0.00057,127114,53.59
32,9.96,6.36,-0.00072,131217,53.01
33,9.92,6.29,-0.00073,135325,51.51
34,10.32,6.69,-0.00088,139424,51.91
35,10.78,7.25,-0.00057,143522,50.6
36,10.85,7.18,-0.00077,147622,49.86
37,10.55,6.91,-0.00089,151727,50.34
38,10.44,6.91,-0.00054,155842,51.29
39,10.76,7.24,-0.00076,159940,50.16
40,10.97,7.37,-0.00056,164043,49.94
41,11.39,7.72,-0.00071,168143,50.9
42,11.02,7.4,-0.00069,172244,49.72
43,11.32,7.74,-0.00075,176342,49.83
44,10.77,7.19,-0.00114,180444,49.93
45,11.5,7.94,-0.00095,184549,54.34
46,11.25,7.71,-0.00059,188645,49.62
47,12.39,8.74,-0.00098,192760,47.74
48,12.21,8.57,-0.00066,196864,47.55
49,12.37,8.79,-0.00034,200960,48.95
50,12.97,9.22,-0.00047,205058,47.72
51,12.61,8.91,-0.00064,209155,48.12
52,12.76,9.11,-0.00043,213265,48.71
53,12.7,9.01,-0.0005,217379,48.16
54,13.81,9.86,-0.00057,221480,47.42
55,14.09,10.2,-0.00034,225594,47.82
56,12.99,9.26,-0.00049,229711,48.59
57,13.64,9.82,-0.00054,233818,48.24
58,13.99,10.17,-0.0003,237917,48.61
59,13.31,9.57,-0.00053,242015,47.23
60,13.7,9.82,-0.00048,246112,47.95
61,14.07,10.24,-0.00019,250263,48.61
62,15.25,11.23,-0.00035,254380,48.24
63,15.49,11.6,-0.00039,258485,48.65
64,13.9,10.16,-0.00044,262586,48.45
65,13.68,9.99,-0.00061,266705,47.8
66,14.77,10.9,-0.00043,270812,48.49
67,16.4,12.31,1e-05,274993,49.95
68,17.23,12.99,-0.00036,279094,49.19
69,13.88,10.14,-0.00071,283231,48.38
70,16.22,12.17,-0.00057,287334,48.16
71,17.37,13.17,-0.00138,291450,50.04
72,20.18,15.72,-0.00064,295547,48.99
73,17.43,13.18,-0.00154,299644,48.31
74,21.49,16.65,-0.00044,303749,50.75
75,21.83,17.08,-0.00041,307919,50.77
76,20.3,15.79,-0.00049,312019,48.55
77,19.42,14.9,-0.0003,316117,48.45
78,23.18,18.1,-0.00026,320220,52.05
79,28.32,22.82,-0.00098,324411,50.75
80,21.21,16.57,-0.00052,328569,49.4
81,25.86,20.51,-0.00032,332680,50.57
82,23.61,18.68,-0.0008,336812,51.42
83,26.94,21.57,-0.00058,340934,50.22
84,29.31,23.59,-0.00054,345037,50.85
85,32.82,26.54,-0.00028,349140,52.13
86,26.79,21.39,-0.00063,353426,54.78
87,31.02,25.01,-0.00134,357583,50.81
88,31.27,25.34,-0.00143,361711,51.34
89,37.16,30.38,-0.00034,365836,51.84
90,38.05,31.19,-0.00081,370022,52.93
91,52.05,43.5,-0.00055,374238,57.04
92,36.35,29.77,-0.00127,378345,53.16
93,45.98,38.13,6e-05,382483,53.73
94,59.96,50.45,-0.00054,386680,56.46
95,38.06,31.37,-0.00066,390791,52.11
96,40.62,33.56,-0.00187,394894,53.24
97,40.14,33.28,-0.00026,399028,53.32
98,36.9,30.28,-0.00085,403198,53.65
